"Neff       n         p         D         t         He3         a         Li7         Be7"
3.045744987451219 7.293623482954849e-11 0.7527878174705962 0.000018522535863450763 5.997955042928916e-8 8.029343656940985e-6 0.06178771659956009 2.2202065292496714e-11 4.064981014354951e-10
3.095744987451219 7.382608473937148e-11 0.7521219574648313 0.000018631095336736134 6.035509514053874e-8 8.039911407777108e-6 0.061954119117691116 2.2384014511592967e-11 4.064981014354951e-10
3.145711923058124 7.472034346515041e-11 0.7514607846333909 0.00001873950610791313 6.073030083991113e-8 8.05044526630701e-6 0.06211934994223414 2.256570509075227e-11 4.039779954815235e-10
3.1956733210365553 7.561877902669435e-11 0.7508042385504663 0.00001884773812885825 6.110506377563256e-8 8.06094033240596e-6 0.06228342419842275 2.2747109912749656e-11 4.014748328610361e-10
3.2456363794620144 7.652168971383197e-11 0.75015226546769 0.00001895583128477415 6.147952017475287e-8 8.071405251224628e-6 0.062446355296818565 2.2928260165510503e-11 3.9898716810219367e-10
3.295598629759126 7.74288554443792e-11 0.7495048001190305 0.000019063761961205178 6.185358982272953e-8 8.081833773310128e-6 0.06260815957048167 2.310913823872464e-11 3.965159842809614e-10
3.3455624290238313 7.8340360817946e-11 0.748861763673361 0.000019171541734154836 6.222730941595631e-8 8.092229041043437e-6 0.06276885671903044 2.328975442336543e-11 3.940608410771174e-10
3.3955247028283972 7.925619328147374e-11 0.748223135786217 0.00001927917191499297 6.26006814430203e-8 8.10259122311335e-6 0.0629284518277798 2.3470106811325823e-11 3.916217169394936e-10
3.4454872643107053 8.017634492046976e-11 0.747588816016941 0.00001938665706711278 6.297372295645897e-8 8.112919830133205e-6 0.06308697000498177 2.3650210875446274e-11 3.891987349123293e-10
3.4954464726858174 8.110078248948424e-11 0.7469587918395462 0.000019493989951635245 6.33464078926929e-8 8.123215321827232e-6 0.0632444143854212 2.383004711011923e-11 3.867918360363526e-10
3.545406711445584 8.20294346919558e-11 0.746332984336876 0.000019601168438082476 6.371872766382944e-8 8.133476791587945e-6 0.06340080470014003 2.400961761133038e-11 3.8440118245941514e-10
3.595365691176574 8.29623110938316e-11 0.745711323735476 0.000019708192989325707 6.409068298470546e-8 8.143703442684896e-6 0.06355615839286878 2.418893064300001e-11 3.8202687225791944e-10
3.645325036583828 8.389967831279642e-11 0.7450937957260475 0.000019815099586381573 6.446239361830861e-8 8.153903426286622e-6 0.06371047901673932 2.4368009052465152e-11 3.7966759166085383e-10
3.6952807287332736 8.484127373236187e-11 0.7444803070405283 0.000019921856697860273 6.483375471374567e-8 8.164069324682901e-6 0.06386378991017133 2.454683455417454e-11 3.773245379806454e-10
3.745250014894372 8.578755386745385e-11 0.7438708456345853 0.000020028523867849462 6.520496559943836e-8 8.174212721990677e-6 0.06401609404564072 2.4725454589789022e-11 3.7499577528897187e-10
3.7952008584762673 8.673738124750844e-11 0.7432653225722945 0.00002013496603391177 6.557556656588402e-8 8.184309781653646e-6 0.06416741374288129 2.4903750338297137e-11 3.726853678535195e-10
3.8451639566558233 8.769204494195703e-11 0.7426637097874351 0.00002024133854928749 6.594608201658981e-8 8.19438639457726e-6 0.06431775592096002 2.50818703955029e-11 3.703887925747389e-10
3.8951171838753202 8.865060958530787e-11 0.7420659668864622 0.00002034753161103563 6.631614568136767e-8 8.204425357550876e-6 0.06446713074633945 2.5259701242773927e-11 3.681090472491031e-10
3.9450753533940293 8.961368932002016e-11 0.7414720284838485 0.00002045362122785824 6.668600972280462e-8 8.214438913886128e-6 0.06461555451803244 2.5437324128740443e-11 3.6584406126693515e-10
3.995032608407925 9.058094550447204e-11 0.7408818491216944 0.000020559569384088795 6.705554387515554e-8 8.224419897100291e-6 0.06476303862498715 2.5614704940038913e-11 3.635949291686216e-10
4.044986814308584 9.15523884672821e-11 0.740295399636599 0.000020665377621025716 6.742475545897344e-8 8.234369738722655e-6 0.06490959035620936 2.5791841141103844e-11 3.6136149212347706e-10
